id,type,category,topic,question,options,answer,hint,points,placeholder,accepted,tokens,correct_order,broken_code
101,mcq,HTML,HTML asoslari,UTF-8 nima uchun kerak?,"[""Unicode kodlash usuli"",""HTML5 versiyasi"",""Veb-brauzer nomi"",""Home Tool Markup Language""]",A,"UTF-8 — Unicode uchun kodlash usuli, turli xil tillar uchun.",1,,,,,
102,mcq,HTML,HTML teglar,Eng katta sarlavha tegi qaysi?,"[""h6"",""h3"",""h1"",""header""]",C,Sarlavha teglari h1 dan h6 gacha bo'ladi — h1 eng katta.,1,,,,,
103,mcq,HTML,HTML teglar,Paragraf (matn bo'limi) uchun qaysi teg ishlatiladi?,"[""text"",""p"",""para"",""div""]",B,<p> — paragraph degan ma'noni anglatadi.,1,,,,,
104,mcq,HTML,Rasmlar,Rasmni sahifaga qo'shish uchun qaysi teg ishlatiladi?,"[""picture"",""photo"",""image"",""img""]",D,"<img> — self-closing teg, yopilmaydi.",1,,,,,
105,mcq,HTML,Havolalar,Havola (link) yaratish uchun qaysi teg ishlatiladi?,"[""link"",""a"",""href"",""url""]",B,<a> — anchor degan ma'noni anglatadi.,1,,,,,
106,mcq,HTML,Ro'yxatlar,Tartibsiz ro'yxat (bullet list) uchun qaysi teg ishlatiladi?,"[""ol"",""list"",""ul"",""li""]",C,"ul — unordered list, ol — ordered list.",1,,,,,
107,mcq,HTML,Formalar,Foydalanuvchi ma'lumot kiritishi uchun qaysi teg ishlatiladi?,"[""input"",""field"",""enter"",""data""]",A,<input> turli xil type atributlari bilan ishlaydi.,1,,,,,
108,mcq,HTML,Semantik teglar,Sahifaning asosiy navigatsiya qismi uchun qaysi semantik teg ishlatiladi?,"[""header"",""menu"",""nav"",""section""]",C,<nav> — navigation degan ma'noni anglatadi.,1,,,,,
109,mcq,HTML,Atributlar,Rasmning muqobil matni (screen reader uchun) qaysi atribut orqali beriladi?,"[""title"",""src"",""alt"",""name""]",C,alt — alternative text. Rasm yuklanmasa ko'rsatiladi.,1,,,,,
110,mcq,HTML,Formalar,Foydalanuvchiga bir nechta variantdan faqat bittasini tanlash imkoniyatini beruvchi input turi qaysi?,"[""type='checkbox'"",""type='radio'"",""type='select'"",""type='button'""]",B,type='radio' — bir xil name atributiga ega guruhdan faqat bitta variantni tanlash uchun.,1,,,,,
111,truefalse,HTML,HTML asoslari,HTML — dasturlash tili hisoblanadi.,,false,"HTML — belgilash tili (markup language), dasturlash tili emas.",1,,,,,
112,truefalse,HTML,HTML teglar,<br> tegi yangi qator yaratadi.,,true,"br — line break, matnni keyingi qatordan davom ettiradi.",1,,,,,
113,truefalse,HTML,HTML tuzilishi,<!DOCTYPE html> deklaratsiyasi <html> tegidan keyin yoziladi.,,false,<!DOCTYPE html> — HTML faylning eng birinchi qatorida bo'lishi shart.,1,,,,,
114,truefalse,HTML,Atributlar,<a> tegida target='_blank' atributi havolani yangi tabda ochadi.,,true,_blank — yangi tab yoki oyna ochadi.,1,,,,,
115,truefalse,HTML,Jadvallar,HTML jadvalda <td> tegi sarlavha katakchasini bildiradi.,,false,"Sarlavha uchun <th>, oddiy katak uchun <td> ishlatiladi.",1,,,,,
116,code,HTML,Havolalar,"'Google' deb yoziladigan, https://google.com ga boradigan havola yozing.",,,"href=""https://google.com"" — havola yaratishning asosiy shakli.",1,<!-- Havolani shu yerga yozing -->,"[""<a href=\""https://google.com\"">Google</a>"",""<a href='https://google.com'>Google</a>""]",,,
117,code,HTML,Rasmlar,logo.png rasmini qo'shing. alt matni 'Logo' bo'lsin.,,,img src='fayl' alt='matn' — rasm tegining asosiy shakli.,1,<!-- Rasm tegini shu yerga yozing -->,"[""<img src=\""logo.png\"" alt=\""Logo\"">"",""<img src='logo.png' alt='Logo'>"",""<img src=\""logo.png\"" alt=\""Logo\"" />""]",,,
118,code,HTML,Sarlavhalar,'Salom Dunyo!' deb yozilgan birinchi darajali sarlavha yozing.,,,Birinchi darajali sarlavha: <h1>matn</h1>.,1,<!-- Sarlavhani shu yerga yozing -->,"[""<h1>Salom Dunyo!</h1>""]",,,
119,code,HTML,Ro'yxatlar,"Olma, Nok, Banan — tartibsiz (bullet) ro'yxat yozing.",,,Tartibsiz ro'yxat: <ul> ichida <li> elementlar.,1,<!-- Ro'yxatni shu yerga yozing -->,"[""<ul>\n  <li>Olma</li>\n  <li>Nok</li>\n  <li>Banan</li>\n</ul>"",""<ul>\n<li>Olma</li>\n<li>Nok</li>\n<li>Banan</li>\n</ul>""]",,,
120,code,HTML,Formalar,Parol kiritish uchun to'g'ri <input> tegini yozing.,,,type='password' — kiritilgan belgilar yashirin ko'rinadi.,1,<!-- Input tegini shu yerga yozing -->,"[""<input type=\""password\"">"",""<input type='password'>"",""<input type=\""password\"" />""]",,,
121,drag,HTML,Havola tegi,Tokenlarni to'g'ri tartibga qo'ying — to'liq havola hosil qiling:,,,"a tegi: ochilish, atribut, >, matn, yopilish.",1,,,"[""</a>"",""<a"",""href=\""https://google.com\"""","">"",""Google""]","[""<a"",""href=\""https://google.com\"""","">"",""Google"",""</a>""]",
122,drag,HTML,Jadval tuzilishi,Jadval elementlarini to'g'ri tartibda joylashtiring:,,,Jadval tartibi: table → tr → td.,1,,,"[""</table>"",""<table>"",""</tr>"",""<td>Ma'lumot</td>"",""<tr>""]","[""<table>"",""<tr>"",""<td>Ma'lumot</td>"",""</tr>"",""</table>""]",
123,drag,HTML,HTML skelet,HTML5 skeletini to'g'ri tartibda joylashtiring:,,,"DOCTYPE birinchi, so'ng html, ichida head va body.",1,,,"[""<body></body>"",""<!DOCTYPE html>"",""</html>"",""<html>"",""<head></head>""]","[""<!DOCTYPE html>"",""<html>"",""<head></head>"",""<body></body>"",""</html>""]",
124,fix,HTML,Rasm tegi,"Quyidagi kodda xato bor. Toping va to'g'irlang:
<img src=""rasm.jpg"" alt=""Rasm>",,,"Har bir atribut qiymati qo'shtirnoq ichida yopilishi kerak: alt=""Rasm""",1,,"[""<img src=\""rasm.jpg\"" alt=\""Rasm\"">"",""<img src=\""rasm.jpg\"" alt=\""Rasm\"" />""]",,,"<img src=""rasm.jpg"" alt=""Rasm>"
